ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
300979.SZ,20240930,69.2,73.91,8.9315,81851.71,583825.94,0.7014,1.073,2.312,2.312,134.03747,134.03747,134.36878,134.36878,41.667,41.667,45.833,45.833
300979.SZ,20240927,68.8,67.85,-0.4548,42688.57,287369.33,0.3658,1.073,2.0065,2.0065,115.76558,115.76558,103.85064,103.85064,41.667,41.667,47.222,47.222
300979.SZ,20240926,65.45,68.16,4.1883,22504.54,149323.2,0.1928,1.073,1.909,1.909,127.42008,127.42008,106.94728,106.94728,50.0,50.0,50.0,50.0
300979.SZ,20240925,65.77,65.42,-0.2896,19341.67,126730.7,0.1657,1.073,1.826,1.826,126.00733,126.00733,104.75796,104.75796,41.667,41.667,51.389,51.389
300979.SZ,20240924,65.82,65.61,-0.3342,20558.66,133912.74,0.1762,1.073,1.791,1.791,141.77151,141.77151,113.23595,113.23595,50.0,50.0,52.778,52.778
300979.SZ,20240923,64.83,65.83,1.7151,13467.39,88528.15,0.1154,1.073,1.807,1.807,150.66941,150.66941,120.56033,120.56033,50.0,50.0,52.778,52.778
300979.SZ,20240920,64.95,64.72,-0.6143,13684.82,88310.88,0.1173,1.073,1.8945,1.8945,143.84384,143.84384,116.45963,116.45963,50.0,50.0,54.167,54.167
300979.SZ,20240919,67.23,65.12,-3.0952,26041.0,169634.64,0.2231,1.073,1.9015,1.9015,143.58472,143.58472,116.35494,116.35494,58.333,58.333,55.556,55.556
300979.SZ,20240918,64.38,67.2,3.2258,14452.0,96297.03,0.1238,1.073,1.8415,1.8415,166.51958,166.51958,134.22201,134.22201,58.333,58.333,54.167,54.167
300979.SZ,20240913,65.75,65.1,-1.1089,13256.25,86729.85,0.1136,1.073,1.798,1.798,140.69001,140.69001,120.75384,120.75384,50.0,50.0,52.778,52.778
300979.SZ,20240912,66.52,65.83,-0.7987,11267.64,74239.64,0.0966,1.073,1.8125,1.8125,153.4168,153.4168,129.58412,129.58412,50.0,50.0,54.167,54.167
300979.SZ,20240911,65.55,66.36,0.7898,12628.65,83972.91,0.1082,1.073,1.865,1.865,166.32153,166.32153,136.77326,136.77326,58.333,58.333,54.167,54.167
300979.SZ,20240910,65.39,65.84,0.6112,12869.0,84367.96,0.1103,1.073,1.864,1.864,175.9673,175.9673,150.81081,150.81081,58.333,58.333,54.167,54.167
300979.SZ,20240909,64.64,65.44,1.175,16280.49,106232.84,0.1395,1.073,1.9025,1.9025,164.36307,164.36307,141.96721,141.96721,50.0,50.0,54.167,54.167
300979.SZ,20240906,66.06,64.68,-2.089,16405.0,107030.68,0.1406,1.073,1.9185,1.9185,166.42487,166.42487,141.02326,141.02326,50.0,50.0,55.556,55.556
300979.SZ,20240905,65.73,66.06,0.3799,12616.5,83071.22,0.1081,1.073,1.917,1.917,169.79614,169.79614,141.03661,141.03661,58.333,58.333,56.944,56.944
300979.SZ,20240904,66.86,65.81,-1.5557,15915.57,104940.49,0.1364,1.073,1.992,1.992,171.01147,171.01147,142.05176,142.05176,50.0,50.0,56.944,56.944
300979.SZ,20240903,65.67,66.85,1.7659,16565.49,110405.66,0.142,1.073,1.951,1.951,170.02107,170.02107,140.00929,140.00929,58.333,58.333,59.722,59.722
300979.SZ,20240902,64.9,65.69,1.5301,20960.0,136650.27,0.1796,1.073,2.0335,2.0335,164.18605,164.18605,135.57385,135.57385,58.333,58.333,59.722,59.722
300979.SZ,20240830,64.8,64.7,-0.5992,14286.26,92484.13,0.1224,1.073,2.047,2.047,170.937,170.937,138.68579,138.68579,58.333,58.333,59.722,59.722
300979.SZ,20240829,64.93,65.09,-0.2605,16010.68,103981.62,0.1372,1.073,2.0305,2.0305,175.47788,175.47788,142.78892,142.78892,58.333,58.333,61.111,61.111
300979.SZ,20240828,65.2,65.26,-0.6243,12958.27,84793.57,0.111,1.073,2.0175,2.0175,166.31523,166.31523,138.27796,138.27796,58.333,58.333,62.5,62.5
300979.SZ,20240827,65.23,65.67,0.9842,11806.0,77769.85,0.1012,1.073,2.0775,2.0775,164.98157,164.98157,139.4712,139.4712,66.667,66.667,62.5,62.5
300979.SZ,20240826,64.07,65.03,1.88,18561.9,120140.97,0.1591,1.073,2.065,2.065,167.88009,167.88009,134.38662,134.38662,58.333,58.333,61.111,61.111
300979.SZ,20240823,64.08,63.83,-1.0694,17426.64,111196.67,0.1493,1.073,2.029,2.029,152.20553,152.20553,113.3035,113.3035,58.333,58.333,59.722,59.722
300979.SZ,20240822,62.59,64.52,2.9191,12323.04,78903.6,0.1056,1.073,2.013,2.013,164.32212,164.32212,123.14261,123.14261,66.667,66.667,58.333,58.333
300979.SZ,20240821,62.33,62.69,0.4004,6790.0,42331.65,0.0582,1.073,1.9115,1.9115,146.7433,146.7433,111.22864,111.22864,66.667,66.667,54.167,54.167
300979.SZ,20240820,62.54,62.44,-0.3829,13473.0,83821.16,0.1155,1.073,1.932,1.932,140.55404,140.55404,106.70023,106.70023,58.333,58.333,50.0,50.0
300979.SZ,20240819,61.12,62.68,2.4853,10685.0,66707.65,0.0916,1.073,1.913,1.913,135.53867,135.53867,102.28397,102.28397,58.333,58.333,48.611,48.611
300979.SZ,20240816,60.78,61.16,0.2459,11496.65,70984.99,0.0985,1.073,1.8735,1.8735,136.97479,136.97479,108.85195,108.85195,50.0,50.0,47.222,47.222
300979.SZ,20240815,60.12,61.01,1.4804,10866.25,66052.91,0.0931,1.073,2.004,2.004,128.24786,128.24786,105.88685,105.88685,50.0,50.0,47.222,47.222
300979.SZ,20240814,60.47,60.12,-0.2489,13619.24,82391.17,0.1167,1.073,1.9795,1.9795,129.36543,129.36543,101.14155,101.14155,41.667,41.667,45.833,45.833
300979.SZ,20240813,60.29,60.27,-0.3307,12392.79,74065.16,0.1062,1.073,2.051,2.051,127.16738,127.16738,97.33826,97.33826,41.667,41.667,45.833,45.833
300979.SZ,20240812,59.54,60.47,1.7328,12226.87,73629.25,0.1048,1.073,2.083,2.083,141.07224,141.07224,105.41267,105.41267,50.0,50.0,44.444,44.444
300979.SZ,20240809,61.0,59.44,-2.5574,12803.36,77003.29,0.1097,1.073,2.0825,2.0825,136.64156,136.64156,102.4812,102.4812,50.0,50.0,43.056,43.056
300979.SZ,20240808,59.4,61.0,2.1947,16631.81,101393.11,0.1425,1.073,2.1275,2.1275,145.10522,145.10522,103.73303,103.73303,50.0,50.0,41.667,41.667
300979.SZ,20240807,59.12,59.69,0.7256,13114.71,78047.54,0.1124,1.073,2.0765,2.0765,128.28633,128.28633,92.77152,92.77152,41.667,41.667,40.278,40.278
300979.SZ,20240806,56.28,59.26,6.0487,26511.72,154628.28,0.2272,1.073,2.0645,2.0645,112.54933,112.54933,84.4769,84.4769,41.667,41.667,38.889,38.889
300979.SZ,20240805,57.29,55.88,-2.4782,14160.98,79802.93,0.1213,1.073,1.981,1.981,118.19258,118.19258,78.45856,78.45856,33.333,33.333,38.889,38.889
300979.SZ,20240802,57.28,57.3,-0.4517,9177.0,52905.81,0.0786,1.073,1.995,1.995,107.23589,107.23589,69.33064,69.33064,41.667,41.667,41.667,41.667
300979.SZ,20240801,58.03,57.56,-1.1336,14939.67,86321.35,0.128,1.073,2.0205,2.0205,98.9123,98.9123,64.14681,64.14681,41.667,41.667,41.667,41.667
300979.SZ,20240731,57.19,58.22,1.5347,20156.35,116928.5,0.1727,1.073,2.084,2.084,102.63608,102.63608,66.71252,66.62879,41.667,41.667,40.278,40.278
300979.SZ,20240730,57.68,57.34,-0.71,9334.39,53195.46,0.08,1.073,2.0265,2.0265,97.50513,97.50439,63.44561,63.47371,33.333,33.333,40.278,40.278
300979.SZ,20240729,57.98,57.75,-0.3967,16533.39,95837.62,0.1417,1.073,2.084,2.084,94.8581,94.85794,62.24213,62.26984,41.667,41.667,43.056,43.056
300979.SZ,20240726,56.53,57.98,2.565,20859.97,120244.04,0.1787,1.073,2.2245,2.2245,91.65883,91.65888,57.42699,57.45222,50.0,50.0,43.056,43.056
300979.SZ,20240725,56.22,56.53,0.195,13262.0,74922.56,0.1136,1.073,2.4025,2.4025,89.77378,89.77355,57.17511,57.19987,41.667,41.667,41.667,41.667
300979.SZ,20240724,57.4,56.42,-1.8783,20843.28,117826.5,0.1786,1.073,2.485,2.485,95.625,95.62415,61.76396,61.78919,33.333,33.333,40.278,40.278
300979.SZ,20240723,57.85,57.5,-1.0497,20129.09,116711.18,0.1725,1.073,2.5015,2.5015,95.54933,95.54877,62.38625,62.41169,41.667,41.667,41.667,41.667
300979.SZ,20240722,57.05,58.11,1.0609,29513.0,170432.07,0.2529,1.073,2.5015,2.50152,95.88108,95.8803,63.73766,63.76316,50.0,50.0,41.667,41.667
