ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
600196.SH,20240930,26.28,27.67,10.0199,674743.74,1820726.4,3.185,14.6453,0.606,0.606,151.65441,151.65441,207.05394,207.05394,75.0,75.0,63.889,63.889
600196.SH,20240927,24.2,25.15,5.0104,263269.15,651939.46,1.2427,14.6453,0.5045,0.5045,131.49905,131.49905,145.82524,145.82524,75.0,75.0,59.722,59.722
600196.SH,20240926,23.22,23.95,3.1883,175930.57,414977.12,0.8305,14.6453,0.479,0.479,106.2167,106.2167,116.88073,116.88073,66.667,66.667,55.556,55.556
600196.SH,20240925,23.0,23.21,1.4423,150456.1,351596.81,0.7102,14.6453,0.448,0.448,94.58042,94.58042,106.55738,106.55738,58.333,58.333,51.389,51.389
600196.SH,20240924,22.45,22.88,2.3714,109688.44,248927.59,0.5178,14.6453,0.4345,0.4345,85.6176,85.6176,94.03509,94.03509,58.333,58.333,48.611,48.611
600196.SH,20240923,22.5,22.35,0.0896,55194.31,123365.61,0.2605,14.6453,0.421,0.421,81.98653,81.98653,87.1134,87.1134,50.0,50.0,47.222,47.222
600196.SH,20240920,22.49,22.33,-0.7556,80691.26,179681.11,0.3809,14.6453,0.4315,0.4315,80.36606,80.36606,80.19802,80.19802,50.0,50.0,47.222,47.222
600196.SH,20240919,22.33,22.5,0.9874,88376.28,199460.91,0.4172,14.6453,0.431,0.431,81.92371,81.92371,78.51373,78.51373,50.0,50.0,45.833,45.833
600196.SH,20240918,22.21,22.28,0.27,63487.76,140168.36,0.2997,14.6453,0.421,0.421,82.80992,82.80992,81.09855,81.09855,41.667,41.667,44.444,44.444
600196.SH,20240913,22.38,22.22,-0.7593,43074.84,96233.55,0.2033,14.6453,0.4245,0.4245,84.14023,84.14023,82.97872,82.97872,41.667,41.667,44.444,44.444
600196.SH,20240912,22.45,22.39,-0.4889,57600.0,129864.4,0.2719,14.6453,0.4285,0.4285,88.86986,88.86986,88.85135,88.85135,50.0,50.0,44.444,44.444
600196.SH,20240911,22.25,22.5,0.6711,61612.0,138141.94,0.2908,14.6453,0.4275,0.4275,85.35354,85.35354,85.07463,85.07463,50.0,50.0,41.667,41.667
600196.SH,20240910,22.63,22.35,0.0448,77058.67,171318.3,0.3637,14.6453,0.423,0.423,88.37607,88.37607,83.71711,92.25641,41.667,41.667,38.889,38.889
600196.SH,20240909,22.61,22.34,-0.7552,62852.37,141453.38,0.2967,14.6453,0.415,0.415,102.61682,102.56629,85.32884,94.14488,41.667,41.667,37.5,37.5
600196.SH,20240906,22.8,22.51,-1.3585,47533.47,107745.89,0.2244,14.6453,0.4255,0.4255,114.00394,113.86086,91.97208,101.34634,41.667,41.667,36.111,36.111
600196.SH,20240905,22.62,22.82,1.1973,64362.0,146417.88,0.3038,14.6453,0.4275,0.4275,120.93496,120.7809,97.8456,107.79694,41.667,41.667,34.722,34.722
